奥迪RS Q8
基本信息
车款名称,"21款 RS Q8 4.0T
","21款 RS Q8 4.0T 尊享版
"
厂商指导价,"146.88万
","184.74万
"
城市参考价,"146.88万
0.0万
","184.74万
0.0万
"
上市时间,"2021-05-14
","2021-01-28
"
车型级别,"中大型SUV
","中大型SUV
"
车身型式,"SUV
","SUV
"
动力类型,"汽油
","汽油
"
发动机,"4.0T V型 8缸 涡轮增压
","4.0T V型 8缸 涡轮增压
"
最大功率/最大扭矩,"441kW/800N.m
","441kW/800N.m
"
变速箱类型,"8挡 手自一体
","8挡 手自一体
"
工信部综合油耗[L/100km],"11.7
","11.7
"
0-100km/h加速时间[s],"3.8
","3.8
"
最高车速[km/h],"250
","250
"
环保标准,"国六
","国六
"
保修政策,"3年或10万公里
","3年或10万公里
"
外观颜色,"#808080天云灰
#000000魔力黑
#d4121a斗牛士红
#cad1d7花剑银
#e3520f鎏金橙
#1c2947纳瓦拉蓝
#07268a星际蓝
#000000墨黑
#ffffff冰川白
","#000000魔力黑
#cad1d7花剑银
#1c2947纳瓦拉蓝
"
内饰颜色,"#000000,#917D6F黑色/岩石灰
#000000黑色
","#000000,#c83c3c黑色/红色
#000000,#684237黑色/棕色
"
车身尺寸
长*宽*高[mm],"5012*2000*1696
","5012*2000*1696
"
轴距[mm],"2998
","2998
"
整备质量[kg],"2435
","-
"
前轮距[mm],"1692
","-
"
后轮距[mm],"1696
","-
"
座位数[个],"5
","5
"
行李厢容积[L],"605-1755
","605
"
油箱容积[L],"85.0
","85.0
"
前轮胎规格,"295/40 R22
","295/35 R23
"
后轮胎规格,"295/40 R22
","295/35 R23
"
备胎,"无备胎
","无备胎
"
动力系统
发动机型号,"DHU
","DHU
"
排量[mL],"3996
","3996
"
进气形式,"涡轮增压
","涡轮增压
"
缸体排列形式,"V型
","V型
"
气缸数,"8
","8
"
最大功率[kW],"441
","441
"
最大马力[Ps],"600
","600
"
最大功率转速[rpm],"6000-6250
","6000-6250
"
最大扭矩[N·m],"800
","800
"
最大扭矩转速[rpm],"2050-4500
","2050-4500
"
燃油标号,"98号
","98号
"
供油方式,"直喷
","直喷
"
变速箱类型,"手自一体
","手自一体
"
挡位个数,"8
","8
"
底盘制动
驱动形式,"全时四驱
","全时四驱
"
前悬架类型,"多连杆式独立悬架
","多连杆式独立悬架
"
后悬架类型,"多连杆式独立悬架
","多连杆式独立悬架
"
助力类型,"电动助力
","电动助力
"
可调悬架功能,"●
","●
"
可调悬架种类,"●空气悬架
","●空气悬架
"
前轮制动类型,"通风盘
","碳纤维陶瓷
"
后轮制动类型,"通风盘
","碳纤维陶瓷
"
驻车制动类型,"电子驻车
","电子驻车
"
车体结构,"承载式
","承载式
"
限滑差速器/差速锁,"后桥
","后桥
"
安全配置
防抱死制动(ABS),"●
","●
"
制动力分配(EBD/CBC等),"●
","●
"
制动辅助(BA/EBA等),"●
","●
"
牵引力控制(ARS/TCS等),"●
","●
"
车身稳定控制(ESP/DSC等),"●
","●
"
主驾驶安全气囊,"●
","●
"
副驾驶安全气囊,"●
","●
"
前侧气囊,"●
","●
"
后侧气囊,"●
","●
"
侧安全气帘,"●
","●
"
膝部气囊,"-
","-
"
安全带气囊,"-
","-
"
后排中央气囊,"-
","-
"
被动行人保护,"●
","●
"
胎压监测,"●
","●
"
零胎压续行轮胎,"-
","-
"
儿童座椅接口(ISO FIX/LATCH),"●
","●
"
驾驶辅助
前倒车雷达,"●
","●
"
后倒车雷达,"●
","●
"
倒车车侧预警系统,"●
","●
"
驻车影像系统,"●360度全景摄像
","●360度全景摄像
"
巡航系统,"●ACC自适应巡航
","●ACC自适应巡航
"
驾驶模式选择,"●
","●
"
车道保持,"●
","●
"
车道偏离预警,"●
","●
"
道路交通标识识别,"○选配2900元
","○
"
并线辅助,"●
","●
"
碰撞报警/主动刹车,"●
","●
"
疲劳提醒,"●
","●
"
自动泊车,"●
","●
"
遥控泊车,"-
","-
"
发动机启停,"●
","●
"
自动驾驶辅助,"-
","-
"
自动驻车,"●
","●
"
上坡辅助,"●
","●
"
陡坡缓降,"●
","●
"
夜视系统,"○
","○
"
可变齿比转向,"●
","●
"
整体主动转向系统,"-
","-
"
外部配置
近光灯光源,"●LED
","●LED
"
远光灯光源,"●LED
","●LED
"
灯光特色功能,"●矩阵式
","●矩阵式
"
LED日间行车灯,"●
","●
"
大灯功能,"●自动开闭
●自动远近光
●自动转向
","●自动开闭
●自动远近光
●自动转向
"
前雾灯,"-
","-
"
大灯调节/清洗,"●高度调节
●大灯清洗
","●高度调节
●大灯清洗
"
天窗类型,"●全景天窗
","●全景天窗
"
运动外观套件,"●
","●
"
轮圈材质,"铝合金轮圈
","铝合金轮圈
"
前电动车窗,"●
","●
"
后电动车窗,"●
","●
"
车窗一键升降,"●全车
","●全车
"
车窗防夹手功能,"●
","●
"
多层隔音玻璃,"-
","-
"
外后视镜电动调节,"●电动调节
●电动折叠
●后视镜记忆
●后视镜加热
","●电动调节
●电动折叠
●后视镜记忆
●后视镜加热
"
外后视镜自动防眩目,"●
","●
"
内后视镜自动防眩目,"●
","●
"
流媒体内后视镜,"-
","-
"
流媒体外后视镜,"-
","-
"
隔热/隐私玻璃,"-
","-
"
后排侧遮阳帘,"○
","○
"
后遮阳帘,"○
","○
"
前雨刷器,"●感应雨刷
","●感应雨刷
"
后雨刷器,"●后雨刷
","●后雨刷
"
可加热喷水嘴,"-
","-
"
电吸门,"○
","○
"
电动侧滑门,"-
","-
"
行李厢开启功能,"●电动开合
●自动感应
","●电动开合
●自动感应
"
车顶行李架,"○
","○
"
中控锁,"●遥控中控
","●遥控中控
"
智能钥匙,"●智能进入
●无钥匙启动
","●智能进入
●无钥匙启动
"
APP远程遥控功能,"-
","-
"
远程启动功能,"-
","-
"
主动闭合式进气格栅,"-
","-
"
尾翼/扰流板,"●
","●
"
内部配置
内饰材质,"●皮质
","●皮质
"
车内氛围灯,"●
","●
"
遮阳板化妆镜,"●
","●
"
方向盘材质,"●皮质
","●皮质
"
多功能方向盘,"●
","●
"
方向盘调节,"●电动上下前后调节
●记忆
","●电动上下前后调节
●记忆
"
方向盘加热,"●
","●
"
方向盘换挡,"●
","●
"
前排空调,"●双温区自动空调
","●双温区自动空调
"
后排空调,"●双温区自动空调
","●双温区自动空调
"
车载空气净化器,"●
","●
"
车内PM2.5过滤装置,"●
","●
"
负离子发生器,"●
","●
"
香氛系统,"●
","●
"
车载冰箱,"-
","-
"
主动降噪,"-
","-
"
座椅配置
座椅材质,"●皮质
","●皮质
"
运动风格座椅,"●
","●
"
主座椅电动调节,"●带记忆电动调节
","●带记忆电动调节
"
副座椅电动调节,"●带记忆电动调节
","●带记忆电动调节
"
主座椅调节方式,"●靠背调节
●高低调节
●腰部调节
●腿托调节
●前后调节
","●靠背调节
●高低调节
●腰部调节
●腿托调节
●前后调节
"
副座椅调节方式,"●靠背调节
●高低调节
●腰部调节
●腿托调节
●前后调节
","●靠背调节
●高低调节
●腰部调节
●腿托调节
●前后调节
"
第二排座椅电动调节,"-
","-
"
第二排座椅调节方式,"●靠背调节
●前后调节
","●靠背调节
●前后调节
"
前排座椅功能,"●加热
●通风
○按摩6600元
","●加热
●通风
○按摩
"
后排座椅功能,"○加热5900元
","○加热
"
前中央扶手,"●
","●
"
后中央扶手,"●
","●
"
第三排座椅,"-
","-
"
座椅布局,"-
","-
"
后排座椅放倒方式,"●比例放倒
","●比例放倒
"
后排杯架,"●
","●
"
后排折叠桌板,"-
","-
"
信息娱乐
中控彩色液晶屏,"●触控式液晶屏
","●触控式液晶屏
"
液晶屏尺寸,"●10.1
","●10.1
"
全液晶仪表盘,"●
","●
"
行车电脑显示屏,"●
","●
"
液晶仪表尺寸,"12.3
","12.3
"
HUD平视显示,"●
","●
"
GPS导航系统,"●GPS导航
●实时路况
","●GPS导航
●实时路况
"
紧急道路救援,"●
","●
"
蓝牙/WiFi连接,"●蓝牙
","●蓝牙
"
车载APP应用,"-
","-
"
4G网络,"●
","●
"
车载WiFi热点,"-
","-
"
OTA升级,"-
","-
"
语音控制,"●智能语音控制
","●智能语音控制
"
手机互联,"●CarPlay
","●CarPlay
"
手机无线充电,"●
","●
"
手势控制系统,"-
","-
"
CD/DVD,"-
","-
"
外接音源接口,"●USB
","●USB
"
车载行车记录仪,"-
","-
"
车载电视,"-
","-
"
后排控制多媒体,"-
","-
"
扬声器数量[个],"●12个以上
","●12个以上
"
后排液晶屏,"-
","-
"
音响品牌,"●B＆O
","●B＆O
"
车载220V电源,"-
","-
"
选配包
超级运动竞速包,"○选配暂无价格
","-
"
高级悬挂套件,"○选配暂无价格
","-
"
